_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 8 FFAlpha 0.003174 0.63 small NA
oibtrd 10 FFAlpha 0.002772 0.42 small NA
oibtrd 12 FFAlpha 0.000991 0.13 small NA
oibtrd 1 FFAlpha 0.001120 1.81 medium NA
oibtrd 2 FFAlpha 0.001065 1.11 medium NA
oibtrd 4 FFAlpha 0.002046 1.46 medium NA
oibtrd 6 FFAlpha 0.001813 1.01 medium NA
oibtrd 8 FFAlpha 0.000428 0.20 medium NA
oibtrd 10 FFAlpha -0.000748 -0.23 medium NA
oibtrd 12 FFAlpha -0.002195 -0.67 medium NA
oibtrd 1 FFAlpha -0.000246 -0.34 big NA
oibtrd 2 FFAlpha -0.000800 -0.71 big NA
oibtrd 4 FFAlpha 0.0000579 0.03 big NA
oibtrd 6 FFAlpha 0.000488 0.17 big NA
oibtrd 8 FFAlpha -0.000589 -0.15 big NA
oibtrd 10 FFAlpha -0.000067 -0.01 big NA
oibtrd 12 FFAlpha 0.000744 0.10 big NA
oibtrd 1 FFAlpha -0.000311 -0.39 NA NA
oibtrd 1 RawReturn -0.000199 -0.23 NA NA
oibtrd 2 FFAlpha -0.001063 -0.88 NA NA
oibtrd 2 RawReturn -0.000645 -0.44 NA NA
oibtrd 4 FFAlpha -0.000580 -0.28 NA NA
oibtrd 4 RawReturn -8.47E-6 -0.00 NA NA
oibtrd 6 FFAlpha 0.000492 0.17 NA NA
oibtrd 6 RawReturn 0.000843 0.19 NA NA
oibtrd 8 FFAlpha 0.001461 0.38 NA NA
oibtrd 8 RawReturn 0.001692 0.28 NA NA
oibtrd 10 FFAlpha 0.002040 0.35 NA NA
oibtrd 10 RawReturn 0.001384 0.18 NA NA
oibtrd 12 FFAlpha 0.002454 0.30 NA NA
oibtrd 12 RawReturn 0.001880 0.19 NA NA
oibtrd 1 FFAlpha 0.003974 1.53 small LOW
oibtrd 2 FFAlpha 0.007170 1.50 small LOW
oibtrd 4 FFAlpha 0.002471 0.32 small LOW
oibtrd 6 FFAlpha 0.0139 1.51 small LOW
oibtrd 8 FFAlpha 0.0171 1.10 small LOW
oibtrd 10 FFAlpha 0.0179 1.00 small LOW
oibtrd 12 FFAlpha 0.0320 1.40 small LOW
oibtrd 1 FFAlpha 0.001496 0.95 medium LOW
oibtrd 2 FFAlpha 0.000447 0.19 medium LOW
oibtrd 4 FFAlpha 0.005728 1.69 medium LOW
oibtrd 6 FFAlpha 0.009730 2.17 medium LOW
oibtrd 8 FFAlpha 0.0119 2.14 medium LOW
oibtrd 10 FFAlpha 0.0147 1.74 medium LOW
oibtrd 12 FFAlpha 0.0102 1.02 medium LOW
oibtrd 1 FFAlpha -0.001292 -1.02 big LOW
oibtrd 2 FFAlpha -0.003131 -1.73 big LOW
oibtrd 4 FFAlpha -0.005483 -1.73 big LOW
oibtrd 6 FFAlpha -0.008145 -1.66 big LOW
oibtrd 8 FFAlpha -0.008902 -1.46 big LOW
oibtrd 10 FFAlpha -0.0118 -1.65 big LOW
oibtrd 12 FFAlpha -0.0127 -1.51 big LOW
oibtrd 1 FFAlpha -0.001209 -0.86 NA LOW
oibtrd 1 RawReturn -0.001052 -0.88 NA LOW
oibtrd 2 FFAlpha -0.003527 -1.67 NA LOW
oibtrd 2 RawReturn -0.002872 -1.48 NA LOW
oibtrd 4 FFAlpha -0.007533 -1.90 NA LOW
oibtrd 4 RawReturn -0.004541 -1.17 NA LOW
oibtrd 6 FFAlpha -0.0105 -1.91 NA LOW
oibtrd 6 RawReturn -0.005973 -0.95 NA LOW
oibtrd 8 FFAlpha -0.008369 -1.73 NA LOW
oibtrd 8 RawReturn -0.005486 -0.80 NA LOW
oibtrd 10 FFAlpha -0.006930 -1.25 NA LOW
oibtrd 10 RawReturn -0.005755 -0.81 NA LOW
oibtrd 12 FFAlpha -0.006099 -0.84 NA LOW
oibtrd 12 RawReturn -0.005855 -0.68 NA LOW
oibtrd 1 FFAlpha 0.001544 2.74 small HIGH
oibtrd 2 FFAlpha 0.002288 2.42 small HIGH
oibtrd 4 FFAlpha 0.003282 1.92 small HIGH
oibtrd 6 FFAlpha 0.003242 1.31 small HIGH
oibtrd 8 FFAlpha 0.001687 0.41 small HIGH
oibtrd 10 FFAlpha 0.000856 0.15 small HIGH
oibtrd 12 FFAlpha -0.001661 -0.24 small HIGH
oibtrd 1 FFAlpha 0.001145 1.98 medium HIGH
oibtrd 2 FFAlpha 0.001208 1.34 medium HIGH
oibtrd 4 FFAlpha 0.001907 1.52 medium HIGH
oibtrd 6 FFAlpha 0.000685 0.40 medium HIGH
oibtrd 8 FFAlpha -0.001223 -0.54 medium HIGH
oibtrd 10 FFAlpha -0.002083 -0.67 medium HIGH
oibtrd 12 FFAlpha -0.003536 -1.22 medium HIGH
oibtrd 1 FFAlpha 0.000380 0.54 big HIGH
oibtrd 2 FFAlpha 0.000109 0.10 big HIGH
oibtrd 4 FFAlpha 0.000932 0.51 big HIGH
oibtrd 6 FFAlpha 0.001101 0.42 big HIGH
oibtrd 8 FFAlpha -0.000161 -0.04 big HIGH
oibtrd 10 FFAlpha -0.000392 -0.08 big HIGH
oibtrd 12 FFAlpha -0.000806 -0.13 big HIGH
oibtrd 1 FFAlpha 0.000416 0.55 NA HIGH
oibtrd 1 RawReturn 0.000494 0.59 NA HIGH
oibtrd 2 FFAlpha -0.000065 -0.06 NA HIGH
oibtrd 2 RawReturn 0.000305 0.22 NA HIGH
oibtrd 4 FFAlpha 0.000614 0.33 NA HIGH
oibtrd 4 RawReturn 0.001141 0.43 NA HIGH
oibtrd 6 FFAlpha 0.001573 0.64 NA HIGH
oibtrd 6 RawReturn 0.002172 0.54 NA HIGH
oibtrd 8 FFAlpha 0.001578 0.42 NA HIGH
oibtrd 8 RawReturn 0.002931 0.53 NA HIGH
oibtrd 10 FFAlpha 0.002191 0.45 NA HIGH
oibtrd 10 RawReturn 0.002957 0.43 NA HIGH
oibtrd 12 FFAlpha 0.002019 0.30 NA HIGH
oibtrd 12 RawReturn 0.003490 0.40 NA HIGH
