_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibvol 1 FFAlpha 0.004299 10.30 small NA
oibvol 2 FFAlpha 0.005956 8.63 small NA
oibvol 4 FFAlpha 0.008279 7.58 small NA
oibvol 6 FFAlpha 0.008755 7.04 small NA
oibvol 8 FFAlpha 0.009635 5.52 small NA
oibvol 10 FFAlpha 0.008039 3.57 small NA
oibvol 12 FFAlpha 0.008671 3.05 small NA
oibvol 1 FFAlpha 0.001685 5.41 medium NA
oibvol 2 FFAlpha 0.002795 5.23 medium NA
oibvol 4 FFAlpha 0.003762 4.42 medium NA
oibvol 6 FFAlpha 0.004610 3.82 medium NA
oibvol 8 FFAlpha 0.005181 3.25 medium NA
oibvol 10 FFAlpha 0.004028 2.60 medium NA
oibvol 12 FFAlpha 0.003737 2.01 medium NA
oibvol 1 FFAlpha 0.000547 1.62 big NA
oibvol 2 FFAlpha 0.000527 1.03 big NA
oibvol 4 FFAlpha 0.001224 1.48 big NA
oibvol 6 FFAlpha 0.001867 1.66 big NA
oibvol 8 FFAlpha 0.002951 1.97 big NA
oibvol 10 FFAlpha 0.002708 1.41 big NA
oibvol 12 FFAlpha 0.004201 1.62 big NA
oibvol 1 FFAlpha 0.000810 2.72 NA NA
oibvol 1 RawReturn 0.000940 3.22 NA NA
oibvol 2 FFAlpha 0.000871 1.73 NA NA
oibvol 2 RawReturn 0.001210 2.32 NA NA
oibvol 4 FFAlpha 0.001646 2.00 NA NA
oibvol 4 RawReturn 0.002237 2.65 NA NA
oibvol 6 FFAlpha 0.002860 2.59 NA NA
oibvol 6 RawReturn 0.003471 2.85 NA NA
oibvol 8 FFAlpha 0.004152 2.60 NA NA
oibvol 8 RawReturn 0.004661 2.69 NA NA
oibvol 10 FFAlpha 0.003779 1.75 NA NA
oibvol 10 RawReturn 0.005120 2.33 NA NA
oibvol 12 FFAlpha 0.005642 2.07 NA NA
oibvol 12 RawReturn 0.005988 2.34 NA NA
oibvol 1 FFAlpha 0.003843 2.37 small LOW
oibvol 2 FFAlpha 0.006230 2.24 small LOW
oibvol 4 FFAlpha 0.003686 0.73 small LOW
oibvol 6 FFAlpha 0.004738 0.75 small LOW
oibvol 8 FFAlpha 0.0128 1.74 small LOW
oibvol 10 FFAlpha 0.0152 2.04 small LOW
oibvol 12 FFAlpha 0.0188 2.57 small LOW
oibvol 1 FFAlpha 0.003062 3.39 medium LOW
oibvol 2 FFAlpha 0.003742 2.44 medium LOW
oibvol 4 FFAlpha 0.004019 1.46 medium LOW
oibvol 6 FFAlpha 0.003473 0.86 medium LOW
oibvol 8 FFAlpha 0.001858 0.44 medium LOW
oibvol 10 FFAlpha -0.000721 -0.15 medium LOW
oibvol 12 FFAlpha -0.002303 -0.40 medium LOW
oibvol 1 FFAlpha 0.000881 1.63 big LOW
oibvol 2 FFAlpha 0.000779 0.87 big LOW
oibvol 4 FFAlpha 0.000559 0.41 big LOW
oibvol 6 FFAlpha 0.000654 0.31 big LOW
oibvol 8 FFAlpha 0.001151 0.37 big LOW
oibvol 10 FFAlpha 0.0000399 0.01 big LOW
oibvol 12 FFAlpha 0.001797 0.35 big LOW
oibvol 1 FFAlpha 0.000809 1.51 NA LOW
oibvol 1 RawReturn 0.000850 1.62 NA LOW
oibvol 2 FFAlpha 0.001058 1.16 NA LOW
oibvol 2 RawReturn 0.001244 1.34 NA LOW
oibvol 4 FFAlpha 0.000952 0.67 NA LOW
oibvol 4 RawReturn 0.001349 0.96 NA LOW
oibvol 6 FFAlpha 0.001103 0.54 NA LOW
oibvol 6 RawReturn 0.001838 0.94 NA LOW
oibvol 8 FFAlpha 0.002051 0.69 NA LOW
oibvol 8 RawReturn 0.001576 0.59 NA LOW
oibvol 10 FFAlpha 0.000770 0.20 NA LOW
oibvol 10 RawReturn 0.000727 0.23 NA LOW
oibvol 12 FFAlpha 0.002589 0.55 NA LOW
oibvol 12 RawReturn 0.000676 0.19 NA LOW
oibvol 1 FFAlpha 0.004449 9.25 small HIGH
oibvol 2 FFAlpha 0.007430 8.84 small HIGH
oibvol 4 FFAlpha 0.0115 8.79 small HIGH
oibvol 6 FFAlpha 0.0143 8.58 small HIGH
oibvol 8 FFAlpha 0.0169 9.94 small HIGH
oibvol 10 FFAlpha 0.0165 7.39 small HIGH
oibvol 12 FFAlpha 0.0172 6.85 small HIGH
oibvol 1 FFAlpha 0.002033 6.67 medium HIGH
oibvol 2 FFAlpha 0.003050 5.78 medium HIGH
oibvol 4 FFAlpha 0.004473 5.20 medium HIGH
oibvol 6 FFAlpha 0.005621 4.69 medium HIGH
oibvol 8 FFAlpha 0.006309 4.45 medium HIGH
oibvol 10 FFAlpha 0.006081 4.36 medium HIGH
oibvol 12 FFAlpha 0.005191 3.15 medium HIGH
oibvol 1 FFAlpha 0.000530 1.71 big HIGH
oibvol 2 FFAlpha 0.000828 1.78 big HIGH
oibvol 4 FFAlpha 0.001758 2.00 big HIGH
oibvol 6 FFAlpha 0.002796 2.31 big HIGH
oibvol 8 FFAlpha 0.003945 2.43 big HIGH
oibvol 10 FFAlpha 0.004275 2.35 big HIGH
oibvol 12 FFAlpha 0.005170 2.26 big HIGH
oibvol 1 FFAlpha 0.000585 2.06 NA HIGH
oibvol 1 RawReturn 0.000776 2.69 NA HIGH
oibvol 2 FFAlpha 0.000759 1.50 NA HIGH
oibvol 2 RawReturn 0.001182 2.27 NA HIGH
oibvol 4 FFAlpha 0.001464 1.72 NA HIGH
oibvol 4 RawReturn 0.002264 2.51 NA HIGH
oibvol 6 FFAlpha 0.002706 2.17 NA HIGH
oibvol 6 RawReturn 0.003575 2.74 NA HIGH
oibvol 8 FFAlpha 0.004142 2.36 NA HIGH
oibvol 8 RawReturn 0.005052 2.80 NA HIGH
oibvol 10 FFAlpha 0.004111 2.06 NA HIGH
oibvol 10 RawReturn 0.005928 2.77 NA HIGH
oibvol 12 FFAlpha 0.005226 2.05 NA HIGH
oibvol 12 RawReturn 0.006901 2.91 NA HIGH
oibtrd 1 FFAlpha 0.003303 6.71 small NA
oibtrd 2 FFAlpha 0.004894 5.94 small NA
oibtrd 4 FFAlpha 0.006201 5.09 small NA
oibtrd 6 FFAlpha 0.005769 3.32 small NA
oibtrd 8 FFAlpha 0.005975 2.67 small NA
oibtrd 10 FFAlpha 0.004656 1.62 small NA
oibtrd 12 FFAlpha 0.005222 1.87 small NA
oibtrd 1 FFAlpha 0.001240 4.02 medium NA
oibtrd 2 FFAlpha 0.001888 3.81 medium NA
oibtrd 4 FFAlpha 0.002675 3.72 medium NA
oibtrd 6 FFAlpha 0.003357 3.14 medium NA
oibtrd 8 FFAlpha 0.003304 2.02 medium NA
oibtrd 10 FFAlpha 0.001414 0.87 medium NA
oibtrd 12 FFAlpha 0.000878 0.45 medium NA
oibtrd 1 FFAlpha 0.000457 1.23 big NA
oibtrd 2 FFAlpha 0.000949 1.41 big NA
oibtrd 4 FFAlpha 0.001671 1.52 big NA
oibtrd 6 FFAlpha 0.002478 1.98 big NA
oibtrd 8 FFAlpha 0.003399 1.90 big NA
oibtrd 10 FFAlpha 0.003491 1.32 big NA
oibtrd 12 FFAlpha 0.004542 1.29 big NA
oibtrd 1 FFAlpha 0.000594 1.62 NA NA
oibtrd 1 RawReturn 0.000707 1.94 NA NA
