_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 8 FFAlpha -0.001602 -0.34 small NA
oibtrd 10 FFAlpha -0.005441 -0.89 small NA
oibtrd 12 FFAlpha -0.007842 -1.01 small NA
oibtrd 1 FFAlpha 0.000465 0.77 medium NA
oibtrd 2 FFAlpha 0.000115 0.12 medium NA
oibtrd 4 FFAlpha 0.001051 0.69 medium NA
oibtrd 6 FFAlpha 0.001296 0.54 medium NA
oibtrd 8 FFAlpha -0.000014 -0.00 medium NA
oibtrd 10 FFAlpha -0.002279 -0.58 medium NA
oibtrd 12 FFAlpha -0.005029 -1.04 medium NA
oibtrd 1 FFAlpha -0.000485 -0.65 big NA
oibtrd 2 FFAlpha -0.000911 -0.78 big NA
oibtrd 4 FFAlpha -0.000895 -0.48 big NA
oibtrd 6 FFAlpha -0.000953 -0.36 big NA
oibtrd 8 FFAlpha -0.002380 -0.68 big NA
oibtrd 10 FFAlpha -0.003942 -0.80 big NA
oibtrd 12 FFAlpha -0.004575 -0.69 big NA
oibtrd 1 FFAlpha -0.000266 -0.33 NA NA
oibtrd 1 RawReturn 0.000266 0.28 NA NA
oibtrd 2 FFAlpha -0.000503 -0.38 NA NA
oibtrd 2 RawReturn 0.000517 0.32 NA NA
oibtrd 4 FFAlpha -0.000256 -0.12 NA NA
oibtrd 4 RawReturn 0.002116 0.71 NA NA
oibtrd 6 FFAlpha -0.000105 -0.03 NA NA
oibtrd 6 RawReturn 0.004116 0.89 NA NA
oibtrd 8 FFAlpha -0.000122 -0.03 NA NA
oibtrd 8 RawReturn 0.004743 0.74 NA NA
oibtrd 10 FFAlpha -0.001348 -0.23 NA NA
oibtrd 10 RawReturn 0.004230 0.54 NA NA
oibtrd 12 FFAlpha -0.001705 -0.21 NA NA
oibtrd 12 RawReturn 0.005523 0.55 NA NA
oibtrd 1 FFAlpha 0.002389 0.92 small LOW
oibtrd 2 FFAlpha 0.006969 1.43 small LOW
oibtrd 4 FFAlpha 0.004968 0.60 small LOW
oibtrd 6 FFAlpha 0.0149 1.55 small LOW
oibtrd 8 FFAlpha 0.0166 1.34 small LOW
oibtrd 10 FFAlpha 0.0160 1.16 small LOW
oibtrd 12 FFAlpha 0.0236 1.58 small LOW
oibtrd 1 FFAlpha 0.000732 0.39 medium LOW
oibtrd 2 FFAlpha -0.001387 -0.57 medium LOW
oibtrd 4 FFAlpha 0.002507 0.70 medium LOW
oibtrd 6 FFAlpha 0.007202 1.75 medium LOW
oibtrd 8 FFAlpha 0.0113 2.08 medium LOW
oibtrd 10 FFAlpha 0.0136 1.67 medium LOW
