_OIB_ _RET_ _SUBGRP_ CLASSVAR_GRP Estimate tValue NOBS IQR order
oibvol "Bid ask" MKTCAP small 0.000729 6.32 1188118 1.3374850333 1.1
oibvol "Bid ask" MKTCAP medium 0.000409 3.91 1189582 1.0877713622 1.2
oibvol "Bid ask" MKTCAP big 0.0002 1.46 1189620 0.6787943317 1.3
oibtrd "Bid ask" MKTCAP small 0.000786 4.63 1188118 1.1727874151 1.1
oibtrd "Bid ask" MKTCAP medium 0.000586 3.32 1189582 0.8679946212 1.2
oibtrd "Bid ask" MKTCAP big -0.00013 -0.69 1189620 0.5314066294 1.3
oibvol "Bid ask" "Share price" small 0.001141 7.63 1187753 1.1481796667 1.1
oibvol "Bid ask" "Share price" medium 0.000224 2.34 1189803 1.1292081434 1.2
oibvol "Bid ask" "Share price" big 5.668E-6 0.06 1189764 0.7403790882 1.3
oibtrd "Bid ask" "Share price" small 0.001207 5.61 1187753 1.106645751 1.1
oibtrd "Bid ask" "Share price" medium 0.00013 1.06 1189803 0.9173490328 1.2
oibtrd "Bid ask" "Share price" big -0.00014 -0.98 1189764 0.5272258705 1.3
oibvol "Bid ask" Turnover small 0.000547 7.25 1188118 1.4644202104 1.1
oibvol "Bid ask" Turnover medium 0.000703 4.85 1189582 0.9299653537 1.2
oibvol "Bid ask" Turnover big 0.000659 2.65 1189620 0.7343548815 1.3
oibtrd "Bid ask" Turnover small 0.000566 5.40 1188118 1.1037946193 1.1
oibtrd "Bid ask" Turnover medium 0.000528 2.65 1189582 0.7109992647 1.2
oibtrd "Bid ask" Turnover big 0.000907 2.35 1189620 0.6835283804 1.3
