_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 10 FFAlpha 0.008548 1.04 small NA
oibtrd 12 FFAlpha 0.0132 1.82 small NA
oibtrd 1 FFAlpha 0.000902 1.13 medium NA
oibtrd 2 FFAlpha 0.001734 1.27 medium NA
oibtrd 4 FFAlpha 0.003048 1.34 medium NA
oibtrd 6 FFAlpha 0.005213 2.20 medium NA
oibtrd 8 FFAlpha 0.004749 1.44 medium NA
oibtrd 10 FFAlpha 0.007511 1.90 medium NA
oibtrd 12 FFAlpha 0.005999 1.75 medium NA
oibtrd 1 FFAlpha -0.000433 -0.35 big NA
oibtrd 2 FFAlpha -0.001455 -0.69 big NA
oibtrd 4 FFAlpha -0.004535 -1.47 big NA
oibtrd 6 FFAlpha -0.007535 -2.53 big NA
oibtrd 8 FFAlpha -0.006938 -1.72 big NA
oibtrd 10 FFAlpha -0.005102 -1.37 big NA
oibtrd 12 FFAlpha -0.006111 -1.18 big NA
oibtrd 1 FFAlpha -0.000227 -0.23 NA NA
oibtrd 1 RawReturn -0.000334 -0.32 NA NA
oibtrd 2 FFAlpha 0.000375 0.22 NA NA
oibtrd 2 RawReturn 0.000328 0.19 NA NA
oibtrd 4 FFAlpha -0.001091 -0.57 NA NA
oibtrd 4 RawReturn -0.001016 -0.53 NA NA
oibtrd 6 FFAlpha -0.002810 -1.65 NA NA
oibtrd 6 RawReturn -0.001742 -1.62 NA NA
oibtrd 8 FFAlpha -0.001773 -0.75 NA NA
oibtrd 8 RawReturn -0.001527 -0.61 NA NA
oibtrd 10 FFAlpha 0.001133 0.41 NA NA
oibtrd 10 RawReturn -0.002138 -0.68 NA NA
oibtrd 12 FFAlpha -0.000887 -0.18 NA NA
oibtrd 12 RawReturn -0.003053 -0.60 NA NA
oibtrd 1 FFAlpha -0.000060 -0.03 small LOW
oibtrd 2 FFAlpha 0.000760 0.20 small LOW
oibtrd 4 FFAlpha 0.003196 0.38 small LOW
oibtrd 6 FFAlpha 0.0119 0.87 small LOW
oibtrd 8 FFAlpha 0.0164 0.80 small LOW
oibtrd 10 FFAlpha 0.0163 0.67 small LOW
oibtrd 12 FFAlpha 0.0325 1.16 small LOW
oibtrd 1 FFAlpha 0.000552 0.29 medium LOW
oibtrd 2 FFAlpha 0.001571 0.48 medium LOW
oibtrd 4 FFAlpha 0.0114 2.93 medium LOW
oibtrd 6 FFAlpha 0.0197 2.98 medium LOW
oibtrd 8 FFAlpha 0.0250 3.10 medium LOW
oibtrd 10 FFAlpha 0.0241 2.78 medium LOW
oibtrd 12 FFAlpha 0.0215 2.49 medium LOW
oibtrd 1 FFAlpha -0.001655 -0.92 big LOW
oibtrd 2 FFAlpha -0.003729 -1.33 big LOW
oibtrd 4 FFAlpha -0.009869 -2.14 big LOW
oibtrd 6 FFAlpha -0.0147 -2.60 big LOW
oibtrd 8 FFAlpha -0.0118 -3.06 big LOW
oibtrd 10 FFAlpha -0.006870 -1.90 big LOW
oibtrd 12 FFAlpha -0.005708 -2.00 big LOW
oibtrd 1 FFAlpha -0.000606 -0.36 NA LOW
oibtrd 1 RawReturn -0.000656 -0.38 NA LOW
oibtrd 2 FFAlpha -0.000203 -0.07 NA LOW
oibtrd 2 RawReturn -0.001113 -0.37 NA LOW
oibtrd 4 FFAlpha -0.005223 -1.39 NA LOW
oibtrd 4 RawReturn -0.007267 -1.76 NA LOW
oibtrd 6 FFAlpha -0.008925 -2.12 NA LOW
oibtrd 6 RawReturn -0.0108 -2.24 NA LOW
oibtrd 8 FFAlpha -0.003974 -12.79 NA LOW
oibtrd 8 RawReturn -0.007840 -1.26 NA LOW
oibtrd 10 FFAlpha 0.001299 1.00 NA LOW
oibtrd 10 RawReturn -0.009099 -1.03 NA LOW
oibtrd 12 FFAlpha 0.000838 1.09 NA LOW
oibtrd 12 RawReturn -0.0115 -0.93 NA LOW
oibtrd 1 FFAlpha -0.000059 -0.04 small HIGH
oibtrd 2 FFAlpha 0.000773 0.27 small HIGH
oibtrd 4 FFAlpha 0.000235 0.06 small HIGH
oibtrd 6 FFAlpha -0.001652 -0.33 small HIGH
oibtrd 8 FFAlpha 0.003242 0.42 small HIGH
oibtrd 10 FFAlpha 0.006309 0.95 small HIGH
oibtrd 12 FFAlpha 0.008853 2.15 small HIGH
oibtrd 1 FFAlpha 0.001238 1.63 medium HIGH
oibtrd 2 FFAlpha 0.002675 2.06 medium HIGH
oibtrd 4 FFAlpha 0.002590 1.22 medium HIGH
oibtrd 6 FFAlpha 0.003307 1.80 medium HIGH
oibtrd 8 FFAlpha 0.001007 0.34 medium HIGH
oibtrd 10 FFAlpha 0.005293 1.51 medium HIGH
oibtrd 12 FFAlpha 0.004289 1.65 medium HIGH
oibtrd 1 FFAlpha 0.000583 0.46 big HIGH
oibtrd 2 FFAlpha 0.001005 0.64 big HIGH
oibtrd 4 FFAlpha 0.001617 0.80 big HIGH
oibtrd 6 FFAlpha 0.001989 0.88 big HIGH
oibtrd 8 FFAlpha 0.001417 0.30 big HIGH
oibtrd 10 FFAlpha -0.004245 -0.96 big HIGH
oibtrd 12 FFAlpha -0.0108 -1.79 big HIGH
oibtrd 1 FFAlpha 0.000837 0.85 NA HIGH
oibtrd 1 RawReturn 0.000846 0.84 NA HIGH
oibtrd 2 FFAlpha 0.001989 1.66 NA HIGH
oibtrd 2 RawReturn 0.002869 2.21 NA HIGH
oibtrd 4 FFAlpha 0.002514 1.84 NA HIGH
oibtrd 4 RawReturn 0.005680 2.85 NA HIGH
oibtrd 6 FFAlpha 0.003862 2.13 NA HIGH
oibtrd 6 RawReturn 0.008443 2.61 NA HIGH
oibtrd 8 FFAlpha 0.002366 0.65 NA HIGH
oibtrd 8 RawReturn 0.007964 2.04 NA HIGH
oibtrd 10 FFAlpha 0.001439 0.37 NA HIGH
oibtrd 10 RawReturn 0.007264 1.33 NA HIGH
oibtrd 12 FFAlpha -0.004034 -0.76 NA HIGH
oibtrd 12 RawReturn 0.005237 0.93 NA HIGH
