_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 10 FFAlpha 0.008434 1.09 small NA
oibtrd 12 FFAlpha 0.0152 1.96 small NA
oibtrd 1 FFAlpha 0.000889 1.09 medium NA
oibtrd 2 FFAlpha 0.002569 2.19 medium NA
oibtrd 4 FFAlpha 0.004516 2.27 medium NA
oibtrd 6 FFAlpha 0.006856 2.88 medium NA
oibtrd 8 FFAlpha 0.006878 2.89 medium NA
oibtrd 10 FFAlpha 0.008570 2.91 medium NA
oibtrd 12 FFAlpha 0.006819 2.89 medium NA
oibtrd 1 FFAlpha -0.000214 -0.16 big NA
oibtrd 2 FFAlpha -0.001148 -0.54 big NA
oibtrd 4 FFAlpha -0.003623 -1.06 big NA
oibtrd 6 FFAlpha -0.006651 -2.00 big NA
oibtrd 8 FFAlpha -0.005445 -1.94 big NA
oibtrd 10 FFAlpha -0.003324 -2.30 big NA
oibtrd 12 FFAlpha -0.005725 -1.54 big NA
oibtrd 1 FFAlpha 0.000374 0.37 NA NA
oibtrd 1 RawReturn 0.000279 0.27 NA NA
oibtrd 2 FFAlpha -0.000329 -0.20 NA NA
oibtrd 2 RawReturn -0.000476 -0.28 NA NA
oibtrd 4 FFAlpha -0.001731 -0.70 NA NA
oibtrd 4 RawReturn -0.001297 -0.46 NA NA
oibtrd 6 FFAlpha -0.003463 -1.29 NA NA
oibtrd 6 RawReturn -0.001698 -0.72 NA NA
oibtrd 8 FFAlpha -0.003812 -1.40 NA NA
oibtrd 8 RawReturn -0.002403 -0.68 NA NA
oibtrd 10 FFAlpha -0.000262 -0.09 NA NA
oibtrd 10 RawReturn -0.002542 -0.73 NA NA
oibtrd 12 FFAlpha -0.002341 -0.64 NA NA
oibtrd 12 RawReturn -0.003743 -0.88 NA NA
oibtrd 1 FFAlpha -0.000098 -0.05 small LOW
oibtrd 2 FFAlpha 0.000888 0.24 small LOW
oibtrd 4 FFAlpha 0.001511 0.18 small LOW
oibtrd 6 FFAlpha 0.008768 0.62 small LOW
oibtrd 8 FFAlpha 0.0137 0.74 small LOW
oibtrd 10 FFAlpha 0.0136 0.58 small LOW
oibtrd 12 FFAlpha 0.0285 1.07 small LOW
oibtrd 1 FFAlpha 0.000715 0.35 medium LOW
oibtrd 2 FFAlpha 0.001772 0.54 medium LOW
oibtrd 4 FFAlpha 0.0126 2.82 medium LOW
oibtrd 6 FFAlpha 0.0225 3.02 medium LOW
oibtrd 8 FFAlpha 0.0271 3.26 medium LOW
oibtrd 10 FFAlpha 0.0260 3.07 medium LOW
oibtrd 12 FFAlpha 0.0250 3.60 medium LOW
oibtrd 1 FFAlpha -0.000564 -0.29 big LOW
oibtrd 2 FFAlpha -0.002181 -0.73 big LOW
oibtrd 4 FFAlpha -0.009594 -1.79 big LOW
oibtrd 6 FFAlpha -0.0139 -2.09 big LOW
oibtrd 8 FFAlpha -0.0132 -2.18 big LOW
oibtrd 10 FFAlpha -0.009536 -1.60 big LOW
oibtrd 12 FFAlpha -0.008284 -6.95 big LOW
oibtrd 1 FFAlpha 0.000268 0.15 NA LOW
oibtrd 1 RawReturn 0.0000192 0.01 NA LOW
oibtrd 2 FFAlpha 0.0000522 0.02 NA LOW
oibtrd 2 RawReturn -0.001086 -0.37 NA LOW
oibtrd 4 FFAlpha -0.004412 -1.03 NA LOW
oibtrd 4 RawReturn -0.007026 -1.55 NA LOW
oibtrd 6 FFAlpha -0.007454 -1.47 NA LOW
oibtrd 6 RawReturn -0.0104 -1.79 NA LOW
oibtrd 8 FFAlpha -0.004353 -1.88 NA LOW
oibtrd 8 RawReturn -0.009087 -1.20 NA LOW
oibtrd 10 FFAlpha 0.0000195 0.01 NA LOW
oibtrd 10 RawReturn -0.0103 -1.03 NA LOW
oibtrd 12 FFAlpha 0.000581 0.32 NA LOW
